  5.00000   4.77627   1.00000
  5.78947   3.04011   1.00000
  6.57895   5.91337   1.00000
  7.36842   6.82952   1.00000
  8.15789   7.11614   1.00000
  8.94737   8.36032   1.00000
  9.73684   6.75672   1.00000
 10.52632   6.90106   1.00000
 11.31579   7.80657   1.00000
 12.10526   7.61485   1.00000
 12.89474  10.61863   1.00000
 13.68421   9.99442   1.00000
 14.47368   7.41803   1.00000
 15.26316   9.49353   1.00000
 16.05263  10.56616   1.00000
 16.84211   8.64577   1.00000
 17.63158  12.13067   1.00000
 18.42105  10.73708   1.00000
 19.21053  10.51303   1.00000
 20.00000  11.74997   1.00000
