  5.00000   5.23626   1.00000
  5.78947   5.48475   1.00000
  6.57895   4.52638   1.00000
  7.36842   5.73661   1.00000
  8.15789   5.67135   1.00000
  8.94737   8.75358   1.00000
  9.73684   5.77560   1.00000
 10.52632   7.45176   1.00000
 11.31579   7.78981   1.00000
 12.10526   7.61814   1.00000
 12.89474   7.66746   1.00000
 13.68421   6.78775   1.00000
 14.47368  10.68617   1.00000
 15.26316   7.67761   1.00000
 16.05263  11.35305   1.00000
 16.84211   9.55292   1.00000
 17.63158  11.90566   1.00000
 18.42105   9.88054   1.00000
 19.21053  12.69511   1.00000
 20.00000  11.59064   1.00000
